id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
3155,User3155,40.197363393198316,Female,Tablet,Side,Social Media,Night,0
5301,User5301,40.197363393198316,Male,Desktop,Side,Social Media,Night,1
2289,User2289,40.197363393198316,Female,Desktop,Bottom,Shopping,Morning,1
4750,User4750,40.197363393198316,Male,Desktop,Bottom,Entertainment,Morning,0
4697,User4697,40.197363393198316,Female,Mobile,Side,Entertainment,Afternoon,1
4593,User4593,54.0,Male,Desktop,Side,News,Evening,0
1691,User1691,45.0,Male,Desktop,Bottom,News,Night,0
5664,User5664,32.0,Male,Mobile,Top,Entertainment,Morning,0
2934,User2934,40.197363393198316,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
3846,User3846,38.0,Non-Binary,Tablet,Bottom,Entertainment,Night,1
6296,User6296,29.0,Female,Desktop,Bottom,Education,Evening,1
8733,User8733,40.197363393198316,Female,Tablet,Bottom,Entertainment,Night,0
8768,User8768,21.0,Female,Mobile,Top,Social Media,Evening,0
8423,User8423,40.197363393198316,Male,Tablet,Bottom,Entertainment,Evening,0
1557,User1557,40.197363393198316,Female,Desktop,Bottom,Entertainment,Night,0
9664,User9664,40.197363393198316,Female,Desktop,Side,Entertainment,Morning,0
24,User24,40.197363393198316,Female,Desktop,Side,Entertainment,Morning,1
2630,User2630,40.197363393198316,Female,Tablet,Top,Entertainment,Night,0
8459,User8459,38.0,Female,Tablet,Bottom,Entertainment,Morning,1
6023,User6023,40.197363393198316,Non-Binary,Tablet,Side,News,Afternoon,0
5471,User5471,40.197363393198316,Female,Desktop,Side,Social Media,Morning,0
2897,User2897,52.0,Male,Desktop,Bottom,Entertainment,Afternoon,0
9660,User9660,40.197363393198316,Female,Desktop,Top,Social Media,Night,1
393,User393,40.0,Female,Desktop,Bottom,Shopping,Morning,1
5756,User5756,51.0,Female,Tablet,Top,Entertainment,Afternoon,1
9136,User9136,40.197363393198316,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,1
5498,User5498,40.197363393198316,Female,Tablet,Side,Education,Morning,1
3333,User3333,30.0,Female,Tablet,Top,Entertainment,Evening,1
7843,User7843,40.197363393198316,Female,Desktop,Bottom,Entertainment,Morning,0
1171,User1171,40.197363393198316,Female,Mobile,Bottom,Entertainment,Night,1
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
6743,User6743,40.197363393198316,Female,Mobile,Side,Entertainment,Evening,1
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1
2309,User2309,22.0,Male,Tablet,Bottom,Entertainment,Morning,1
5890,User5890,40.197363393198316,Female,Mobile,Bottom,News,Night,1
4621,User4621,40.197363393198316,Female,Desktop,Bottom,Entertainment,Afternoon,1
5881,User5881,26.0,Non-Binary,Tablet,Top,Entertainment,Morning,1
1969,User1969,46.0,Non-Binary,Mobile,Bottom,Entertainment,Night,1
2581,User2581,40.197363393198316,Female,Mobile,Bottom,Entertainment,Evening,1
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
5490,User5490,50.0,Non-Binary,Mobile,Top,Entertainment,Morning,0
3574,User3574,40.197363393198316,Female,Tablet,Top,Entertainment,Evening,1
1264,User1264,40.197363393198316,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,0
3763,User3763,23.0,Female,Desktop,Bottom,Social Media,Afternoon,0
4981,User4981,40.197363393198316,Male,Tablet,Bottom,Shopping,Evening,1
9855,User9855,40.197363393198316,Male,Desktop,Bottom,News,Morning,1
4562,User4562,45.0,Female,Tablet,Bottom,Social Media,Morning,0
3955,User3955,63.0,Female,Desktop,Top,Entertainment,Afternoon,0
5182,User5182,43.0,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,0
9747,User9747,40.197363393198316,Non-Binary,Mobile,Top,Entertainment,Night,0
5053,User5053,61.0,Female,Tablet,Side,Entertainment,Morning,1
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
2691,User2691,40.197363393198316,Female,Desktop,Bottom,News,Afternoon,1
3150,User3150,40.197363393198316,Male,Desktop,Bottom,Entertainment,Afternoon,0
224,User224,40.197363393198316,Male,Desktop,Bottom,News,Morning,0
1908,User1908,26.0,Female,Mobile,Bottom,Education,Morning,1
6143,User6143,29.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,1
7693,User7693,40.197363393198316,Female,Desktop,Bottom,Entertainment,Morning,0
9855,User9855,40.197363393198316,Male,Desktop,Bottom,Entertainment,Morning,1
8817,User8817,53.0,Male,Tablet,Bottom,Education,Morning,1
675,User675,40.197363393198316,Female,Desktop,Bottom,Entertainment,Afternoon,0
6142,User6142,35.0,Female,Desktop,Bottom,Entertainment,Night,0
184,User184,28.0,Female,Desktop,Top,Entertainment,Evening,0
234,User234,19.0,Female,Tablet,Bottom,Social Media,Morning,1
4950,User4950,28.0,Female,Mobile,Side,Entertainment,Morning,1
2266,User2266,38.0,Non-Binary,Mobile,Bottom,Entertainment,Morning,0
3638,User3638,45.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
2336,User2336,32.0,Female,Desktop,Side,Entertainment,Morning,1
5912,User5912,41.0,Non-Binary,Desktop,Side,Education,Night,1
8190,User8190,26.0,Female,Mobile,Side,Entertainment,Afternoon,1
9913,User9913,40.197363393198316,Male,Desktop,Side,Entertainment,Morning,0
3801,User3801,40.197363393198316,Non-Binary,Desktop,Side,Entertainment,Evening,1
100,User100,40.197363393198316,Non-Binary,Tablet,Bottom,Social Media,Morning,0
6771,User6771,40.197363393198316,Female,Desktop,Side,Shopping,Morning,1
5527,User5527,23.0,Non-Binary,Desktop,Top,Entertainment,Evening,0
3908,User3908,50.0,Female,Desktop,Bottom,Entertainment,Evening,1
9813,User9813,59.0,Female,Desktop,Bottom,Shopping,Morning,0
4074,User4074,37.0,Male,Mobile,Side,News,Morning,0
3218,User3218,61.0,Female,Tablet,Bottom,Entertainment,Morning,0
2330,User2330,27.0,Female,Tablet,Top,Entertainment,Evening,0
1118,User1118,30.0,Female,Tablet,Side,Entertainment,Night,0
775,User775,40.197363393198316,Female,Mobile,Top,Shopping,Evening,1
3375,User3375,40.197363393198316,Non-Binary,Mobile,Bottom,Education,Morning,1
1126,User1126,40.197363393198316,Female,Tablet,Bottom,Entertainment,Morning,1
1755,User1755,40.197363393198316,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
8115,User8115,40.197363393198316,Female,Mobile,Top,Social Media,Afternoon,1
7511,User7511,31.0,Female,Desktop,Side,Shopping,Night,1
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
670,User670,22.0,Female,Desktop,Top,Shopping,Afternoon,1
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Morning,1
3062,User3062,34.0,Female,Desktop,Bottom,Entertainment,Evening,1
2529,User2529,40.197363393198316,Female,Desktop,Top,Entertainment,Afternoon,1
393,User393,40.0,Female,Desktop,Bottom,Shopping,Morning,1
5118,User5118,63.0,Female,Tablet,Top,Entertainment,Evening,0
2913,User2913,40.197363393198316,Non-Binary,Mobile,Bottom,Entertainment,Evening,1
6861,User6861,40.197363393198316,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,1
1487,User1487,40.197363393198316,Male,Desktop,Bottom,Education,Morning,0
920,User920,40.197363393198316,Female,Desktop,Side,Social Media,Night,0
9238,User9238,40.197363393198316,Non-Binary,Desktop,Top,Shopping,Evening,0
9966,User9966,40.197363393198316,Female,Mobile,Top,Entertainment,Afternoon,1
6063,User6063,18.0,Non-Binary,Desktop,Side,Entertainment,Morning,0
9412,User9412,34.0,Female,Mobile,Bottom,Social Media,Morning,1
8222,User8222,27.0,Female,Desktop,Side,News,Morning,1
6467,User6467,40.197363393198316,Non-Binary,Desktop,Side,Entertainment,Morning,1
4620,User4620,43.0,Non-Binary,Mobile,Side,Entertainment,Night,1
7971,User7971,40.197363393198316,Non-Binary,Tablet,Top,Entertainment,Morning,1
2733,User2733,40.197363393198316,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
3157,User3157,43.0,Female,Desktop,Top,Entertainment,Night,0
3225,User3225,40.197363393198316,Female,Tablet,Bottom,Entertainment,Morning,1
9916,User9916,40.197363393198316,Female,Mobile,Top,Entertainment,Morning,0
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0
7655,User7655,39.0,Female,Desktop,Bottom,Entertainment,Morning,0
9227,User9227,40.197363393198316,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
6081,User6081,18.0,Female,Tablet,Bottom,Entertainment,Morning,0
1126,User1126,31.0,Female,Tablet,Side,Entertainment,Afternoon,1
8350,User8350,25.0,Female,Mobile,Bottom,Entertainment,Morning,0
1706,User1706,40.197363393198316,Female,Tablet,Bottom,Shopping,Night,1
438,User438,39.0,Female,Mobile,Top,Entertainment,Morning,0
